candidate_index	seq_id	status	complete_screening	retained_new60	ghost_tasks	not_spawned_tasks	late_unresolved_tasks	background_or_other_first_collision_tasks
1	03b53590-22e2-4847-87a6-464bbf0b7465	retained_new60	true	true	18	0	6	0
2	8383a344-044c-45d4-b640-eb760873a19a	retained_new60	true	true	18	0	0	0
3	723ad966-59cd-45bd-8e79-7c1665c0d7d3	screened_out	true	false	18	2	0	6
4	d5bc58f5-fa2e-4995-afa8-416cfd79d3b7	retained_new60	true	true	18	3	3	0
5	8c86408d-64ad-40e7-b62b-3e34a213b8f8	retained_new60	true	true	18	0	0	0
6	89cbb1a0-97a6-4599-9891-4aaf811869e1	retained_new60	true	true	18	0	0	0
7	867b8cd6-76d1-42a8-bfb2-efd094987414	retained_new60	true	true	18	0	0	0
8	3dd351e9-3349-45af-a3c4-95ba3acb05da	retained_new60	true	true	18	0	0	0
9	c246207b-a165-4741-84d6-7419cb7222a1	screened_out	true	false	18	6	0	6
10	8310e233-6321-4347-a2f9-f62cc4ec6b12	retained_new60	true	true	18	0	0	0
11	32014e08-2d2e-4547-bdad-2b33f43a53bd	retained_new60	true	true	18	0	0	0
12	18824800-8268-4e7a-adce-0dc69069a5ca	retained_new60	true	true	18	6	0	0
13	e20df268-961f-4755-804b-5579fdbe08f8	retained_new60	true	true	18	0	0	0
14	35c08315-bcbd-45a6-b419-36b1bf4269b7	screened_out	true	false	18	6	0	18
15	3856ed37-4a05-4131-9b12-c4f4716fec92	retained_new60	true	true	18	0	0	0
16	f558c81c-6735-4c22-beb0-792655aee13c	retained_new60	true	true	18	0	0	0
17	13b0afee-a293-4ff1-9750-a2b965da547f	retained_new60	true	true	18	0	0	0
18	3dbe2a74-9fdd-4c10-92a2-c05883e45583	incomplete_screening	false	false	0	0	0	0
19	2dd9de23-293e-4737-af7b-050f9f541274	retained_new60	true	true	18	0	0	0
20	092b6ebd-d093-4d8c-b135-e03b6bf268b3	screened_out	true	false	18	12	6	0
21	667102df-3606-4451-b2af-41fa3759f878	retained_new60	true	true	18	0	0	0
22	81f12932-704c-4ac7-b012-cfd917d715d5	screened_out	true	false	18	0	0	6
23	fd94e051-70f1-4152-b586-cff6a11bd79a	screened_out	true	false	18	6	0	0
24	dc8a8524-0ffa-4252-aaa0-0708d1362bb2	retained_new60	true	true	18	0	0	0
25	6dcf23de-ca3d-4d8b-98a5-51d439f372f2	retained_new60	true	true	18	6	0	0
26	8dee4ee6-1960-4b8c-95f6-24f6218482a2	retained_new60	true	true	18	0	5	0
27	530fc285-f6cc-4328-b679-04418deb60cc	retained_new60	true	true	18	6	0	0
28	20b27760-7914-4d79-a061-615c599ad7fa	screened_out	true	false	18	11	0	17
29	409dcc51-4467-4b26-a0f9-baa031cdc8f3	retained_new60	true	true	18	0	0	0
30	d1e7cd82-759c-4af5-bcc8-58295fdad130	retained_new60	true	true	18	0	0	0
31	4d8966d3-a9a0-4fd2-a8ad-6051d4d1b7cd	retained_new60	true	true	18	0	0	1
32	acc12324-2c89-4576-955d-e0775d1156a3	screened_out	true	false	18	0	0	6
33	63d6281f-476e-4ab5-b588-8c5f84e3d138	retained_new60	true	true	18	0	0	0
34	53a4d867-7949-496c-b352-d639d28ea15d	retained_new60	true	true	18	0	5	0
35	60c4bcda-0b16-4ede-a7ca-40a18389b37d	retained_new60	true	true	18	0	0	0
36	4d7bc6d8-c8eb-47c7-aa15-d8066b3524f8	retained_new60	true	true	18	0	0	0
37	abf2b022-4e59-4c04-8fb4-c267f759980e	retained_new60	true	true	18	0	0	0
38	f5204db1-9b12-4595-958d-36977ebe03c1	incomplete_screening	false	false	0	0	0	0
39	85bfe163-a7f8-4717-8c45-c66c0ce28fab	retained_new60	true	true	18	0	0	0
40	825555a9-6adb-4980-8cf9-94a817f32e3b	retained_new60	true	true	18	0	0	0
41	fe6347da-985a-46a1-a9dc-a874bfb5bdba	retained_new60	true	true	18	0	0	0
42	2b335064-045f-45be-9249-83519fbb1cae	screened_out	true	false	18	0	0	3
43	1fcf34b1-1391-4153-8dfe-eabe50d89cb9	retained_new60	true	true	18	0	1	0
44	81fb9c89-cb74-4ace-b5b8-8f22f7d96cce	screened_out	true	false	18	8	10	6
45	f14a94fd-a7ae-40d8-a54d-d0f38ebaf4ba	retained_new60	true	true	18	0	0	0
46	a121eb26-142b-4df5-8902-6745df91b363	retained_new60	true	true	18	0	0	0
47	02538229-02ca-487c-842a-20a60c8767b5	screened_out	true	false	18	0	0	18
48	1b56f628-eb3c-4b68-9fe3-de6fd80544ae	screened_out	true	false	18	12	0	0
49	b7747bb3-000c-4152-abb4-1e26a2c45b25	screened_out	true	false	18	6	0	0
50	49b9fbb7-1119-4a4a-aa5f-0375c4718f3f	screened_out	true	false	18	0	0	1
51	38b1ab16-ad8e-451e-b3be-151abc186328	retained_new60	true	true	18	0	2	0
52	bcb702fb-b323-48fe-9adf-1bcba619b685	retained_new60	true	true	18	8	4	0
53	04f5e07c-edfc-4d3f-a4f3-68d7bb571f85	screened_out	true	false	18	0	0	6
54	9a8a8f31-d923-4a2a-8529-7b012efa0573	retained_new60	true	true	18	0	4	0
55	10db974c-7322-4702-9bd7-f20ed0ddf359	retained_new60	true	true	18	0	0	0
56	18061cf3-017b-44a9-9089-3af842654903	screened_out	true	false	18	0	0	0
57	34b86eee-9884-47ac-ab49-ce1c8058d4e7	screened_out	true	false	18	0	0	6
58	ba48ef92-f37d-4c73-9be4-5b32b0c3cee8	screened_out	true	false	18	12	0	0
59	480c05be-219c-4ead-87e3-637a297a7d16	retained_new60	true	true	18	6	0	0
60	d567a51c-0e57-4e40-885a-36f5f8f99dd1	retained_new60	true	true	18	0	0	0
61	49ae52d9-ea4c-4e5c-a56f-6b6da7cdb7f3	screened_out	true	false	18	12	0	18
62	16e57601-8355-46fd-88f4-1f66aaf49801	retained_new60	true	true	18	0	0	0
63	1fb98468-81e2-4cc0-919d-9b92d73245da	retained_new60	true	true	18	0	0	0
64	2f0fdc15-eeb9-40ac-af16-737e862c0255	screened_out	true	false	18	6	0	0
65	1c0053e6-f656-4845-934b-0313d8c99fd9	screened_out	true	false	18	6	0	0
66	ad8fbb5d-56e8-4c54-867c-f7d51d660060	retained_new60	true	true	18	0	0	0
67	43da3f31-32b3-450f-870e-991f3656ab30	retained_new60	true	true	18	0	0	0
68	342eb101-dbcb-436c-b9c9-ec1a7c1b294d	retained_new60	true	true	18	6	0	0
69	a993e598-8b8a-45aa-b25f-b61957d931ad	screened_out	true	false	18	6	0	6
70	6049ffdd-2677-494b-83ed-42ac9733d29b	screened_out	true	false	18	0	0	6
71	560f71bf-9853-4822-9852-fcf67a11cfd2	retained_new60	true	true	18	0	0	0
72	28bdcdc4-83bf-40b8-af48-1ee05ead2bf4	retained_new60	true	true	18	0	0	0
73	683cfaef-3101-45a1-b414-4ab1a2440c01	retained_new60	true	true	18	0	0	0
74	9b408388-85af-411f-8770-3013410a1cf0	retained_new60	true	true	18	0	0	1
75	262f1410-a248-4031-ad28-1629be7e54fd	screened_out	true	false	18	4	0	18
76	912e3348-1971-4201-940f-c4abfe191d4f	retained_new60	true	true	18	6	0	0
77	c25811e1-a74e-462b-9e77-9acccd582347	screened_out	true	false	18	6	0	6
78	6bb2154f-5cd4-4581-9af9-a3067ece14c5	retained_new60	true	true	18	0	0	1
79	d4030c16-eb9f-412e-a0ad-fc12e54d14fb	retained_new60	true	true	18	0	0	0
80	758f7517-e10d-4fdf-9aed-0a9a4c8803d9	retained_new60	true	true	18	0	0	0
81	8195475c-5b29-486e-b4ea-306fa80a25ba	retained_new60	true	true	18	0	0	0
82	9658c5ea-9073-4232-b4ea-2c71081d2d68	retained_new60	true	true	18	0	0	0
83	61f018bc-5147-4070-8017-6e9eeca05993	retained_new60	true	true	18	2	4	0
