Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
1,42.231,3908.414,2479.925,9.744,0.0,-2.056,-1,-1,0.792,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.7471,-0.0004
2,72.468,3907.961,2479.066,9.67,0.0,-2.0561,-1,-1,0.79,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.0975,0.0017
3,133.186,3907.512,2478.214,9.56,0.0,-2.0555,-1,-1,0.787,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.244,0.0029
4,183.972,3907.069,2477.373,9.436,0.0,-2.0546,-1,-1,0.783,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.3001,-0.0005
5,219.415,3906.633,2476.542,9.306,0.0,-2.0548,-1,-1,0.779,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.2693,-0.0006
6,268.697,3906.202,2475.723,9.179,0.0,-2.0549,-1,-1,0.775,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.1921,0.0084
7,311.949,3905.778,2474.914,9.059,0.0,-2.0524,-1,-1,0.772,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.1083,0.0081
8,355.914,3905.361,2474.115,8.949,0.0,-2.0499,-1,-1,0.768,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.9767,0.0046
9,414.282,3904.951,2473.324,8.851,0.0,-2.0486,-1,-1,0.766,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.8692,-0.0049
10,449.5,3904.545,2472.542,8.764,0.0,-2.05,-1,-1,0.763,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.827,-0.0046
11,485.438,3904.142,2471.767,8.681,0.0,-2.0513,-1,-1,0.76,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.7747,-0.0041
12,526.88,3903.742,2471.0,8.604,0.0,-2.0525,-1,-1,0.758,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.6849,-0.0005
13,562.522,3903.344,2470.24,8.535,0.0,-2.0527,-1,-1,0.756,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.5817,-0.0025
14,598.199,3902.949,2469.486,8.477,0.0,-2.0534,-1,-1,0.754,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.5402,0.0001
15,625.131,3902.557,2468.737,8.423,0.0,-2.0533,-1,-1,0.753,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.5018,-0.0029
16,721.558,3902.167,2467.993,8.373,0.0,-2.0542,-1,-1,0.751,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.468,0.0287
17,757.996,3901.781,2467.252,8.326,0.0,-2.0462,-1,-1,0.75,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.4264,-0.0044
18,865.407,3901.4,2466.513,8.284,0.0,-2.0474,-1,-1,0.749,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.3869,-0.0074
19,909.156,3901.021,2465.779,8.245,0.0,-2.0494,-1,-1,0.747,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.35,-0.007
20,947.39,3900.641,2465.048,8.21,0.0,-2.0513,-1,-1,0.746,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.315,-0.0062
21,983.621,3900.261,2464.322,8.178,0.0,-2.053,-1,-1,0.745,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.2727,-0.0056
22,1109.997,3899.882,2463.598,8.151,0.0,-2.0546,-1,-1,0.745,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.239,-0.0049
23,1234.563,3899.503,2462.878,8.127,0.0,-2.0559,-1,-1,0.744,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.2142,-0.0043
24,1314.237,3899.124,2462.16,8.106,0.0,-2.057,-1,-1,0.743,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1835,-0.0036
