Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
1,42.766,3908.414,2479.925,9.744,0.0,-2.056,-1,-1,0.792,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.7471,-0.0004
2,72.043,3907.961,2479.066,9.67,0.0,-2.0561,-1,-1,0.79,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.0975,0.0017
3,128.149,3907.512,2478.214,9.56,0.0,-2.0555,-1,-1,0.787,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.244,0.0029
4,180.048,3907.069,2477.373,9.436,0.0,-2.0546,-1,-1,0.783,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.3001,-0.0005
5,217.297,3906.633,2476.542,9.306,0.0,-2.0548,-1,-1,0.779,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.2693,-0.0006
6,266.527,3906.202,2475.723,9.179,0.0,-2.0549,-1,-1,0.775,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.1921,0.0084
7,313.164,3905.778,2474.914,9.059,0.0,-2.0524,-1,-1,0.772,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-1.1083,0.0081
8,357.696,3905.361,2474.115,8.949,0.0,-2.0499,-1,-1,0.768,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.9767,0.0046
9,415.765,3904.951,2473.324,8.851,0.0,-2.0486,-1,-1,0.766,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.8692,-0.0049
10,452.301,3904.545,2472.542,8.764,0.0,-2.05,-1,-1,0.763,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.827,-0.0046
11,486.932,3904.142,2471.767,8.681,0.0,-2.0513,-1,-1,0.76,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.7747,-0.0041
12,525.828,3903.742,2471.0,8.604,0.0,-2.0525,-1,-1,0.758,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.6849,-0.0005
13,560.333,3903.344,2470.24,8.535,0.0,-2.0527,-1,-1,0.756,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.5817,-0.0025
14,594.896,3902.949,2469.486,8.477,0.0,-2.0534,-1,-1,0.754,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.5402,0.0001
15,621.79,3902.557,2468.737,8.423,0.0,-2.0533,-1,-1,0.753,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.5018,-0.0029
16,714.57,3902.167,2467.993,8.373,0.0,-2.0542,-1,-1,0.751,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.468,0.0287
17,752.693,3901.781,2467.252,8.326,0.0,-2.0462,-1,-1,0.75,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.4264,-0.0044
18,856.562,3901.4,2466.513,8.284,0.0,-2.0474,-1,-1,0.749,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.3869,-0.0074
19,901.487,3901.021,2465.779,8.245,0.0,-2.0494,-1,-1,0.747,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.35,-0.007
20,938.607,3900.641,2465.048,8.21,0.0,-2.0513,-1,-1,0.746,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.315,-0.0062
21,973.161,3900.261,2464.322,8.178,0.0,-2.053,-1,-1,0.745,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.2727,-0.0056
22,1101.229,3899.882,2463.598,8.151,0.0,-2.0546,-1,-1,0.745,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.239,-0.0049
23,1232.921,3899.503,2462.878,8.127,0.0,-2.0559,-1,-1,0.744,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.2142,-0.0043
24,1310.648,3899.124,2462.16,8.106,0.0,-2.057,-1,-1,0.743,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1835,-0.0036
25,1400.977,3898.746,2461.444,8.087,0.0,-2.058,-1,-1,0.743,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1648,-0.003
26,1522.093,3898.367,2460.73,8.071,0.0,-2.0588,-1,-1,0.742,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1479,-0.0025
27,1662.748,3897.989,2460.018,8.056,0.0,-2.0595,-1,-1,0.742,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1344,0.0023
28,1722.824,3897.611,2459.307,8.043,0.0,-2.0589,-1,-1,0.741,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1207,0.0014
29,1801.184,3897.234,2458.597,8.031,0.0,-2.0585,-1,-1,0.741,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1095,-0.0017
30,1870.986,3896.858,2457.888,8.02,0.0,-2.059,-1,-1,0.741,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.1034,-0.0018
31,1906.452,3896.482,2457.18,8.009,0.0,-2.0595,-1,-1,0.74,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.091,0.0136
32,1956.503,3896.107,2456.473,8.0,0.0,-2.0558,-1,-1,0.74,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0819,0.0067
33,2002.337,3895.735,2455.765,7.992,0.0,-2.054,-1,-1,0.74,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0724,-0.003
34,2047.173,3895.363,2455.058,7.985,0.0,-2.0548,-1,-1,0.74,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0987,-0.0008
35,2074.57,3894.992,2454.351,7.975,0.0,-2.055,-1,-1,0.739,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0871,-0.0033
36,2100.286,3894.62,2453.646,7.966,0.0,-2.0559,-1,-1,0.739,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0768,-0.003
37,2126.11,3894.249,2452.942,7.959,0.0,-2.0567,-1,-1,0.739,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0932,-0.0028
38,2151.433,3893.877,2452.238,7.949,0.0,-2.0574,-1,-1,0.738,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0861,-0.0032
39,2181.754,3893.505,2451.536,7.941,0.0,-2.0583,-1,-1,0.738,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0757,-0.0011
40,2205.494,3893.133,2450.835,7.933,0.0,-2.0586,-1,-1,0.738,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.066,-0.0002
41,2235.059,3892.762,2450.134,7.926,0.0,-2.0586,-1,-1,0.738,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0576,0.0005
42,2261.375,3892.39,2449.434,7.921,0.0,-2.0585,-1,-1,0.738,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0494,0.001
43,2291.504,3892.019,2448.735,7.916,0.0,-2.0582,-1,-1,0.737,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0423,0.0015
44,2343.766,3891.649,2448.035,7.912,0.0,-2.0578,-1,-1,0.737,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.011,0.0014
45,2390.376,3891.279,2447.336,7.913,0.0,-2.0575,-1,-1,0.737,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.0332,0.0028
46,2419.266,3890.909,2446.637,7.916,0.0,-2.0567,-1,-1,0.737,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,0.0312,0.0032
