Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
1,56.974,3908.414,2479.925,9.744,0.0,-2.056,22.159,1.9,0.792,7.0,20.72,15.1927,314.7931,2.266,0.38,0.0,0,0,22.077,22.159,0,-2.48,0.0159
2,126.1,3907.966,2479.071,9.496,0.0,-2.0508,21.195,2.007,0.785,7.0,20.9346,14.4292,302.0696,2.222,0.401,0.0,0,0,21.099,21.195,0,-3.007,-0.0386
3,238.654,3907.529,2478.242,9.196,0.0,-2.0629,20.256,1.756,0.776,7.0,21.0681,13.5299,285.0487,2.195,0.351,0.0,0,0,20.18,20.256,0,-3.4248,0.0081
4,299.114,3907.102,2477.443,8.853,0.0,-2.0604,19.351,1.803,0.766,7.0,21.1576,12.5409,265.334,2.176,0.361,0.0,0,0,19.267,19.351,0,-3.5354,0.0033
5,379.327,3906.692,2476.674,8.5,0.0,-2.0595,18.48,1.819,0.755,7.0,21.219,11.5592,245.2761,2.164,0.364,0.0,0,0,18.391,18.48,0,-3.4301,0.0027
6,475.084,3906.3,2475.935,8.157,0.0,-2.0587,17.645,1.831,0.745,7.0,21.2782,10.6451,226.5084,2.152,0.366,0.0,0,0,17.55,17.645,0,-3.398,0.0167
7,569.186,3905.925,2475.226,7.817,0.0,-2.0543,16.844,1.906,0.735,7.0,21.3301,9.7767,208.5367,2.141,0.381,0.0,0,0,16.736,16.844,0,-3.2134,0.0005
8,855.444,3905.568,2474.545,7.496,0.0,-2.0541,16.076,1.908,0.725,7.0,21.386,8.9894,192.2467,2.13,0.382,0.0,0,0,15.962,16.076,0,-3.0432,0.0089
9,1003.195,3905.225,2473.892,7.191,0.0,-2.052,15.34,1.942,0.716,7.0,21.4526,8.2743,177.5048,2.116,0.388,0.0,0,0,15.216,15.34,0,-3.0482,0.0191
10,1223.128,3904.899,2473.265,6.886,0.0,-2.0475,14.635,2.009,0.707,7.0,21.5057,7.5877,163.1784,2.105,0.402,0.0,0,0,14.497,14.635,0,-2.7356,0.0013
11,1320.748,3904.589,2472.663,6.613,0.0,-2.0472,13.96,2.014,0.698,7.0,21.5845,6.6865,144.3248,2.089,0.403,0.0,0,0,13.814,13.96,0,-2.4916,-0.0016
12,1503.06,3904.29,2472.084,6.364,0.0,-2.0475,13.311,2.009,0.691,7.0,21.6888,5.5005,119.2992,2.068,0.402,0.0,0,0,13.158,13.311,0,-2.2532,0.007
13,1691.503,3904.002,2471.526,6.138,0.0,-2.0461,12.685,2.029,0.684,7.0,21.8247,4.3278,94.4538,2.04,0.406,0.0,0,0,12.522,12.685,0,-2.0126,-0.0006
14,1798.413,3903.725,2470.988,5.937,0.0,-2.0462,12.083,2.029,0.678,7.0,21.9896,3.5328,77.6841,2.006,0.406,0.0,0,0,11.911,12.083,0,-1.7872,-0.0038
15,1936.643,3903.456,2470.466,5.758,0.0,-2.0469,11.503,2.022,0.673,7.0,22.0199,2.9408,64.7557,1.967,0.404,0.0,0,0,11.324,11.503,0,-1.5921,-0.0072
16,2080.701,3903.195,2469.96,5.599,0.0,-2.0483,10.947,2.009,0.668,7.0,22.0199,2.5019,55.0925,1.922,0.402,0.0,0,0,10.761,10.947,0,-1.4331,-0.0084
17,2176.542,3902.94,2469.468,5.456,0.0,-2.0498,10.41,1.994,0.664,7.0,22.0199,2.1547,47.4463,1.873,0.399,0.0,0,0,10.218,10.41,0,-1.2971,-0.0081
18,2296.306,3902.691,2468.989,5.326,0.0,-2.0513,9.891,1.981,0.66,7.0,22.0199,1.8624,41.0108,1.819,0.396,0.0,0,0,9.691,9.891,0,-1.1844,-0.0052
19,2396.914,3902.447,2468.521,5.208,0.0,-2.0522,9.388,1.974,0.656,7.0,22.0199,1.5895,34.9998,1.762,0.395,0.0,0,0,9.178,9.388,0,-1.064,-0.0063
20,2457.977,3902.207,2468.063,5.101,0.0,-2.0533,8.897,1.966,0.653,7.0,22.0199,1.3691,30.1471,1.701,0.393,0.0,0,0,8.677,8.897,0,-0.9707,-0.0042
21,2613.549,3901.972,2467.615,5.004,0.0,-2.054,8.416,1.961,0.65,7.0,22.0199,1.1722,25.8123,1.635,0.392,0.0,0,0,8.184,8.416,0,-0.8877,-0.0038
22,2684.959,3901.741,2467.175,4.916,0.0,-2.0546,7.944,1.957,0.647,7.0,22.0199,1.0031,22.0878,1.566,0.391,0.0,0,0,7.7,7.944,0,-0.5081,0.035
23,2745.32,3901.515,2466.741,4.865,0.0,-2.0489,7.48,2.0,0.646,7.0,22.0199,0.7479,16.4696,1.482,0.4,0.0,1,1,7.208,7.48,0,-0.552,0.0206
