any_collision	background_collision	baseline	clean81_index	dataset	distance	ghost_collision	ghost_spawned	impact_speed	paper_safe	raw_no_ghost_collision	source	source_scene_index	spawn_frame	summary_path	task_id	zero_collision_safe
True	False	aeb_only	1	clean21	3.0	True	True	4.876659217337052	False	False	main650	1	449	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d3_aeb_only/summary.json	scene01_f4eaa49a_d3_aeb_only	False
True	False	mind	1	clean21	3.0	True	True	5.141474876350165	False	False	main650	1	449	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d3_mind/summary.json	scene01_f4eaa49a_d3_mind	False
True	False	ours	1	clean21	3.0	True	True	3.3091046410835787	False	False	main650	1	475	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d3_ours/summary.json	scene01_f4eaa49a_d3_ours	False
True	False	aeb_only	1	clean21	3.5	True	True	4.436023374479677	False	False	main650	1	444	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d3p5_aeb_only/summary.json	scene01_f4eaa49a_d3p5_aeb_only	False
True	False	mind	1	clean21	3.5	True	True	5.136743633831107	False	False	main650	1	444	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d3p5_mind/summary.json	scene01_f4eaa49a_d3p5_mind	False
True	False	ours	1	clean21	3.5	True	True	2.828382750792745	True	False	main650	1	468	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d3p5_ours/summary.json	scene01_f4eaa49a_d3p5_ours	False
True	False	aeb_only	1	clean21	4.0	True	True	3.919783926233303	False	False	main650	1	439	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d4_aeb_only/summary.json	scene01_f4eaa49a_d4_aeb_only	False
True	False	mind	1	clean21	4.0	True	True	5.134227107052938	False	False	main650	1	439	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d4_mind/summary.json	scene01_f4eaa49a_d4_mind	False
True	False	ours	1	clean21	4.0	True	True	2.2545281596332942	True	False	main650	1	461	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d4_ours/summary.json	scene01_f4eaa49a_d4_ours	False
True	False	aeb_only	1	clean21	4.5	True	True	3.325082557170017	False	False	main650	1	434	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene01_f4eaa49a_d4p5_aeb_only/summary.json	scene01_f4eaa49a_d4p5_aeb_only	False
