speed	baseline	n	spawned	no_collision	ghost_collision	low_speed_contact	paper_safe	high_impact	bg_first	bg_after	mean_impact_v	mean_impact_v2
1.0	ours	27	27	7	20	8	26	1	0	0	1.25	2.212
1.0	aeb_only	27	27	0	27	10	22	5	0	0	1.737	5.139
1.0	mind	27	27	4	19	0	6	17	4	6	5.083	28.439
1.5	ours	27	27	11	16	7	26	1	0	0	1.171	2.88
1.5	aeb_only	27	27	4	23	4	18	9	0	0	2.578	9.8
1.5	mind	27	27	0	26	0	3	23	1	2	5.221	29.385
2.0	ours	27	27	17	10	3	26	1	0	0	1.66	4.885
2.0	aeb_only	27	27	3	24	4	17	10	0	0	2.841	11.576
2.0	mind	27	27	0	27	0	3	24	0	3	5.18	29.037
3.0	ours	27	27	16	11	5	26	1	0	0	1.425	4.261
3.0	aeb_only	27	27	4	23	4	17	10	0	0	2.991	12.87
3.0	mind	27	27	0	27	1	3	24	0	1	5.13	28.97
